Time_s,Missile_Class,Flight_Phase,Altitude_m,Altitude_km,Range_m,Range_km,Speed_ms,Speed_kmh,Absolute_Velocity_ms,Vx_ms,Vy_ms,Ax_ms2,Ay_ms2,Total_Acceleration_ms2,Mach_Number,G_Load,Dynamic_Pressure_Pa,Dynamic_Pressure_kPa,Thrust_N,Thrust_kN,Drag_Force_N,Mass_kg,Kinetic_Energy_J,Kinetic_Energy_MJ
0.0,Agni_Class,BOOST,0.0,0.0,0.0,0.0,4800.0,17280.0,4800.0,997.9761,4695.1085,-28.8707,-145.6359,148.47,14.1176,14.155,14112000.0,14112.0,900000.0,900.0,4788088.8,28000.0,322560000000.0,322560.0
0.5,Agni_Class,BOOST,2311.15,2.3111,491.77,0.4918,4725.7721,17012.7797,4725.7721,983.5408,4622.2905,-19.7101,-102.4068,104.2864,15.0124,9.6505,10422387.6,10422.3876,900000.0,900.0,3536232.8,27846.15,310942995231.16,310942.9952
1.0,Agni_Class,BOOST,4596.69,4.5967,978.61,0.9786,4673.639,16825.1003,4673.639,973.6857,4571.0871,-13.1282,-71.3745,72.5719,16.0221,6.4168,7790326.17,7790.3262,900000.0,900.0,2643195.4,27692.31,302440172532.67,302440.1725
1.5,Agni_Class,BOOST,6864.39,6.8644,1462.17,1.4622,4637.3674,16694.5225,4637.3674,967.1216,4535.3999,-8.2978,-48.6212,49.3241,17.1461,4.0457,5873860.99,5873.861,900000.0,900.0,1992954.08,27538.46,296109731553.11,296109.7316
2.0,Agni_Class,BOOST,9119.93,9.1199,1943.66,1.9437,4612.7262,16605.8143,4612.7262,962.9727,4511.0893,-4.6955,-31.6692,32.0154,18.3867,2.2791,4457100.37,4457.1004,900000.0,900.0,1512258.53,27384.62,291334555651.94,291334.5557
2.5,Agni_Class,BOOST,11367.56,11.3676,2423.97,2.424,4596.7505,16548.3017,4596.7505,960.6249,4495.2547,-1.9758,-18.883,18.9861,19.7485,0.9465,3397815.93,3397.8159,900000.0,900.0,1152851.79,27230.77,287694643075.33,287694.6431
3.0,Agni_Class,BOOST,13610.47,13.6105,2903.79,2.9038,4587.3111,16514.3201,4587.3111,959.6371,4485.8132,0.0977,-9.1451,9.1456,21.2379,0.0685,2599061.18,2599.0612,900000.0,900.0,881840.68,27076.92,284895578331.12,284895.5783
3.5,Agni_Class,BOOST,15851.09,15.8511,3383.63,3.3836,4582.8501,16498.2603,4582.8501,959.6859,4481.2407,1.6908,-1.6704,2.3768,22.8626,0.8474,1992922.2,1992.9222,900000.0,900.0,676182.57,26923.08,282726161602.92,282726.1616
4.0,Agni_Class,BOOST,18091.29,18.0913,3863.9,3.8639,4582.2105,16495.9579,4582.2105,960.5313,4480.4054,2.923,4.105,5.0394,24.6317,1.4494,1530768.08,1530.7681,900000.0,900.0,519377.37,26769.23,281032129575.04,281032.1296
4.5,Agni_Class,BOOST,20332.52,20.3325,4344.9,4.3449,4584.5239,16504.2861,4584.5239,961.9928,4482.458,3.8817,8.5938,9.4298,25.4696,1.9173,1177160.4,1177.1604,900000.0,900.0,399401.11,26615.38,279699208456.17,279699.2085
5.0,Agni_Class,BOOST,22575.9,22.5759,4826.86,4.8269,4589.1325,16520.877,4589.1325,963.9337,4486.7549,4.6316,12.1018,12.9579,25.4952,2.283,905912.85,905.9128,900000.0,900.0,307368.99,26461.54,278641815539.73,278641.8155
5.5,Agni_Class,BOOST,24822.3,24.8223,5309.99,5.31,4595.535,16543.9259,4595.535,966.2495,4492.8058,5.2214,14.8588,15.7495,25.5307,2.5704,697462.49,697.4625,900000.0,900.0,236643.45,26307.69,277795309975.87,277795.31
6.0,Agni_Class,BOOST,27072.42,27.0724,5794.42,5.7944,4603.3473,16572.0504,4603.3473,968.8602,4500.2352,5.6882,17.0385,17.9629,25.5742,2.7976,537068.75,537.0688,900000.0,900.0,182223.13,26153.85,277110548581.13,277110.5486
6.5,Agni_Class,BOOST,29326.79,29.3268,6280.27,6.2803,4612.2745,16604.188,4612.2745,971.7043,4508.7544,6.06,18.7734,19.7272,25.6237,2.9785,413550.67,413.5507,900000.0,900.0,140314.44,26000.0,276549983107.99,276549.9831
7.0,Agni_Class,BOOST,31585.87,31.5859,6767.64,6.7676,4622.0889,16639.5201,4622.0889,974.7343,4518.1411,6.3584,20.1649,21.1437,25.6783,3.1235,318384.04,318.384,900000.0,900.0,108025.16,25846.15,276084815293.98,276084.8153
7.5,Agni_Class,BOOST,33849.98,33.85,7256.59,7.2566,4632.6152,16677.4147,4632.6152,977.9135,4528.2236,6.6,21.2913,22.2908,25.7368,3.241,245044.99,245.045,900000.0,900.0,83141.81,25692.31,275692894335.9,275692.8943
8.0,Agni_Class,BOOST,36119.41,36.1194,7747.2,7.7472,4643.7177,16717.3836,4643.7177,981.2135,4538.8692,6.7978,22.2127,23.2296,25.7984,3.337,188526.19,188.5262,900000.0,900.0,63965.43,25538.46,275357145687.25,275357.1457
8.5,Agni_Class,BOOST,38394.4,38.3944,8239.51,8.2395,4655.2916,16759.0496,4655.2916,984.6124,4549.9756,6.9616,22.9759,24.0074,25.8627,3.4166,144976.24,144.9762,900000.0,900.0,49189.28,25384.62,275064386439.58,275064.3864
9.0,Agni_Class,BOOST,40675.13,40.6751,8733.55,8.7336,4667.2559,16802.1213,4667.2559,988.0931,4561.4635,7.0991,23.6168,24.6607,25.9292,3.4834,111428.37,111.4284,900000.0,900.0,37806.76,25230.77,274804425892.2,274804.4259
9.5,Agni_Class,BOOST,42961.77,42.9618,9229.37,9.2294,4679.5482,16846.3735,4679.5482,991.6427,4573.2719,7.2164,24.1635,25.2181,25.9975,3.5404,85594.97,85.595,900000.0,900.0,29041.69,25076.92,274569378916.54,274569.3789
10.0,Agni_Class,BOOST,45254.44,45.2544,9727.0,9.727,4692.1203,16891.633,4692.1203,995.2509,4585.3537,7.3182,24.6378,25.7017,26.0673,3.5899,65710.97,65.711,900000.0,900.0,22295.21,24923.08,274353139568.82,274353.1396
10.5,Agni_Class,BOOST,47553.28,47.5533,10226.46,10.2265,4704.9351,16937.7663,4704.9351,998.91,4597.6726,7.4079,25.0566,26.1287,26.1385,3.6335,50414.02,50.414,900000.0,900.0,17105.07,24769.23,274150976271.42,274150.9763
11.0,Agni_Class,BOOST,49858.38,49.8584,10727.76,10.7278,4717.9642,16984.6713,4717.9642,1002.614,4610.2008,7.4886,25.4329,26.5125,26.2109,3.6728,38652.52,38.6525,900000.0,900.0,13114.49,24615.38,273959219754.85,273959.2198
11.5,Agni_Class,BOOST,52169.84,52.1698,11230.94,11.2309,4731.186,17032.2697,4731.186,1006.3583,4622.9173,7.5622,25.7771,26.8634,26.2844,3.7086,29614.75,29.6148,900000.0,900.0,10048.05,24461.54,273775022096.92,273775.0221
12.0,Agni_Class,BOOST,54487.74,54.4877,11736.01,11.736,4744.584,17080.5024,4744.584,1010.1394,4635.8058,7.6306,26.097,27.1897,26.3588,3.742,22674.34,22.6743,900000.0,900.0,7693.22,24307.69,273596170441.08,273596.1704
12.5,Agni_Class,BOOST,56812.17,56.8122,12242.99,12.243,4758.1457,17129.3246,4758.1457,1013.9547,4648.8543,7.6951,26.3988,27.4975,26.4341,3.7734,17348.06,17.3481,900000.0,900.0,5886.06,24153.85,273420942874.65,273420.9429
13.0,Agni_Class,BOOST,59143.2,59.1432,12751.89,12.7519,4771.8619,17178.703,4771.8619,1017.8022,4662.0537,7.7567,26.6873,27.7917,26.5103,3.8035,13263.28,13.2633,900000.0,900.0,4500.12,24000.0,273247996874.35,273247.9969
13.5,Agni_Class,BOOST,61480.89,61.4809,13262.73,13.2627,4785.7259,17228.6131,4785.7259,1021.6806,4675.3974,7.8162,26.9663,28.0763,26.5874,3.8326,10132.8,10.1328,900000.0,900.0,3437.98,23846.15,273076282941.84,273076.2829
14.0,Agni_Class,BOOST,63825.34,63.8253,13775.52,13.7755,4799.7326,17279.0374,4799.7326,1025.5887,4688.8806,7.8743,27.2387,28.354,26.6652,3.861,7735.39,7.7354,900000.0,900.0,2624.56,23692.31,272904977740.05,272904.9777
14.5,Agni_Class,BOOST,66176.59,66.1766,14290.29,14.2903,4813.8788,17329.9636,4813.8788,1029.5258,4702.4999,7.9314,27.5067,28.6273,26.7438,3.8889,5900.72,5.9007,900000.0,900.0,2002.07,23538.46,272733432333.73,272733.4323
15.0,Agni_Class,BOOST,68534.71,68.5347,14807.03,14.807,4828.1621,17381.3836,4828.1621,1033.4915,4716.2533,7.9879,27.7721,28.898,26.8231,3.9166,4497.73,4.4977,900000.0,900.0,1526.04,23384.62,272561132131.93,272561.1321
15.5,Agni_Class,BOOST,70899.78,70.8998,15325.78,15.3258,4842.5813,17433.2927,4842.5813,1037.4854,4730.1393,8.0441,28.0363,29.1674,26.9032,3.9441,3425.66,3.4257,900000.0,900.0,1162.3,23230.77,272387665896.68,272387.6659
16.0,Agni_Class,BOOST,73271.86,73.2719,15846.53,15.8465,4857.1357,17485.6886,4857.1357,1041.5075,4744.1574,8.1003,28.3003,29.4368,26.9841,3.9716,2607.07,2.6071,900000.0,900.0,884.56,23076.92,272212701774.91,272212.7018
16.5,Agni_Class,BOOST,75651.01,75.651,16369.31,16.3693,4871.8253,17538.5711,4871.8253,1045.5577,4758.3076,8.1567,28.5651,29.7069,27.0657,3.9992,1982.52,1.9825,900000.0,900.0,672.65,22923.08,272035968769.6,272035.9688
17.0,Agni_Class,BOOST,78037.31,78.0373,16894.13,16.8941,4886.6504,17591.9415,4886.6504,1049.636,4772.5901,8.2133,28.8313,29.9784,27.1481,4.027,1506.37,1.5064,900000.0,900.0,511.1,22769.23,271857242421.82,271857.2424
17.5,Agni_Class,BOOST,80430.81,80.4308,17421.0,17.421,4901.6118,17645.8025,4901.6118,1053.7427,4787.0058,8.2703,29.0995,30.252,27.2312,4.0549,1143.65,1.1437,900000.0,900.0,388.03,22615.38,271676333751.12,271676.3338
18.0,Agni_Class,BOOST,82831.59,82.8316,17949.94,17.9499,4916.7104,17700.1575,4916.7104,1057.8779,4801.5556,8.3279,29.3701,30.528,27.3151,4.0831,867.57,0.8676,900000.0,900.0,294.36,22461.54,271493080716.07,271493.0807
18.5,Agni_Class,BOOST,85239.71,85.2397,18480.96,18.481,4931.9475,17755.0111,4931.9475,1062.0418,4816.2406,8.386,29.6434,30.8068,27.3997,4.1116,657.58,0.6576,900000.0,900.0,223.11,22307.69,271307341622.65,271307.3416
19.0,Agni_Class,BOOST,87655.24,87.6552,19014.07,19.0141,4947.3245,17810.3683,4947.3245,1066.2348,4831.0623,8.4448,29.9198,31.0887,27.4851,4.1404,498.01,0.498,900000.0,900.0,168.97,22153.85,271118990037.32,271118.99
19.5,Agni_Class,BOOST,90078.25,90.0783,19549.3,19.5493,4962.8429,17866.2346,4962.8429,1070.4572,4846.0222,8.5042,30.1995,31.374,27.5713,4.1695,376.84,0.3768,900000.0,900.0,127.86,22000.0,270927910861.62,270927.9109
20.0,Agni_Class,BOOST,92508.81,92.5088,20086.66,20.0867,4978.5045,17922.6161,4978.5045,1074.7093,4861.122,8.5644,30.4826,31.6629,27.6584,4.1991,284.91,0.2849,900000.0,900.0,96.67,21846.15,270733997302.59,270733.9973
20.5,Agni_Class,BOOST,94946.99,94.947,20626.15,20.6262,4994.3109,17979.5192,4994.3109,1078.9915,4876.3633,8.6254,30.7694,31.9555,27.7462,4.2289,215.22,0.2152,900000.0,900.0,73.02,21692.31,270537148533.8,270537.1485
21.0,Agni_Class,BOOST,97392.87,97.3929,21167.81,21.1678,5010.2641,18036.9507,5010.2641,1083.3042,4891.748,8.6872,31.0601,32.2521,27.8348,4.2592,162.44,0.1624,900000.0,900.0,55.11,21538.46,270337267888.09,270337.2679
21.5,Agni_Class,BOOST,99846.51,99.8465,21711.63,21.7116,5026.366,18094.9177,5026.366,1087.6478,4907.278,8.7498,31.3547,32.5527,27.9243,4.2899,122.49,0.1225,900000.0,900.0,41.56,21384.62,270134261459.45,270134.2615
22.0,Agni_Class,BOOST,102307.99,102.308,22257.64,22.2576,5042.6187,18153.4274,5042.6187,1092.0227,4922.9554,8.8133,31.6535,32.8576,28.0145,4.3211,92.29,0.0923,900000.0,900.0,31.31,21230.77,269928037019.32,269928.037
22.5,Agni_Class,BOOST,104777.38,104.7774,22805.86,22.8059,5059.0243,18212.4874,5059.0243,1096.4294,4938.7822,8.8777,31.9565,33.1668,28.1057,4.3527,69.47,0.0695,900000.0,900.0,23.57,21076.92,269718503174.31,269718.5032
23.0,Agni_Class,BOOST,107254.76,107.2548,23356.29,23.3563,5075.5849,18272.1055,5075.5849,1100.8682,4954.7604,8.9431,32.2639,33.4804,28.1977,4.3847,52.25,0.0522,900000.0,900.0,17.73,20923.08,269505568708.98,269505.5687
23.5,Agni_Class,BOOST,109740.2,109.7402,23908.96,23.909,5092.3027,18332.2898,5092.3027,1105.3398,4970.8924,9.0094,32.5758,33.7987,28.2906,4.4172,39.26,0.0393,900000.0,900.0,13.32,20769.23,269289142070.29,269289.1421
24.0,Agni_Class,BOOST,112233.79,112.2338,24463.88,24.4639,5109.1801,18393.0485,5109.1801,1109.8445,4987.1803,9.0766,32.8922,34.1216,28.3843,4.4502,29.47,0.0295,900000.0,900.0,10.0,20615.38,269069130960.39,269069.131
24.5,Agni_Class,BOOST,114735.61,114.7356,25021.07,25.0211,5126.2195,18454.39,5126.2195,1114.3828,5003.6264,9.1449,33.2134,34.4494,28.479,4.4836,22.1,0.0221,900000.0,900.0,7.5,20461.54,268845442011.82,268845.442
25.0,Agni_Class,BOOST,117245.72,117.2457,25580.55,25.5806,5143.4231,18516.3231,5143.4231,1118.9552,5020.2331,9.2142,33.5395,34.7821,28.5746,4.5176,16.56,0.0166,900000.0,900.0,5.62,20307.69,268617980525.64,268617.9805
