Time_s,Missile_Class,Flight_Phase,Altitude_m,Altitude_km,Range_m,Range_km,Speed_ms,Speed_kmh,Absolute_Velocity_ms,Vx_ms,Vy_ms,Ax_ms2,Ay_ms2,Total_Acceleration_ms2,Mach_Number,G_Load,Dynamic_Pressure_Pa,Dynamic_Pressure_kPa,Thrust_N,Thrust_kN,Drag_Force_N,Mass_kg,Kinetic_Energy_J,Kinetic_Energy_MJ
0.0,Akash_Class,BOOST,0.0,0.0,0.0,0.0,700.0,2520.0,700.0,239.4141,657.7848,16.2659,34.8801,38.4864,2.0588,4.8479,300125.0,300.125,80000.0,80.0,8662.62,1500.0,367500000.0,367.5
0.5,Akash_Class,BOOST,337.61,0.3376,123.77,0.1238,719.1719,2589.0188,719.1719,247.547,675.2249,16.5182,35.6141,39.2583,2.1391,4.927,304454.02,304.454,80000.0,80.0,8787.57,1473.33,381010046.25,381.01
1.0,Akash_Class,BOOST,684.13,0.6841,251.68,0.2517,738.7355,2659.4476,738.7355,255.8061,693.0319,16.7828,36.382,40.0663,2.2229,5.0098,308410.73,308.4107,80000.0,80.0,8901.78,1446.67,394744747.61,394.7447
1.5,Akash_Class,BOOST,1039.74,1.0397,383.78,0.3838,758.7084,2731.3501,758.7084,264.1976,711.2229,17.0605,37.1858,40.9127,2.3102,5.0965,311983.72,311.9837,80000.0,80.0,9004.91,1420.0,408703262.48,408.7033
2.0,Akash_Class,BOOST,1404.65,1.4046,520.14,0.5201,779.1095,2804.7942,779.1095,272.7278,729.8158,17.3521,38.028,41.7998,2.4013,5.1873,315162.67,315.1627,80000.0,80.0,9096.66,1393.33,422884767.53,422.8848
2.5,Akash_Class,BOOST,1779.06,1.7791,660.84,0.6608,799.9589,2879.8521,799.9589,281.4039,748.8298,17.6586,38.9109,42.7303,2.4966,5.2826,317938.4,317.9384,80000.0,80.0,9176.78,1366.67,437288429.8,437.2884
3.0,Akash_Class,BOOST,2163.21,2.1632,805.96,0.806,821.278,2956.6008,821.278,290.2332,768.2853,17.981,39.837,43.707,2.5961,5.3825,320302.86,320.3029,80000.0,80.0,9245.02,1340.0,451913373.93,451.9134
3.5,Akash_Class,BOOST,2557.31,2.5573,955.57,0.9556,843.0895,3035.1223,843.0895,299.2237,788.2038,18.3202,40.8091,44.7326,2.7003,5.4875,322249.16,322.2492,80000.0,80.0,9301.2,1313.33,466758644.01,466.7586
4.0,Akash_Class,BOOST,2961.61,2.9616,1109.76,1.1098,865.4178,3115.504,865.4178,308.3838,808.6083,18.6774,41.8302,45.8106,2.8094,5.5978,323771.57,323.7716,80000.0,80.0,9345.14,1286.67,481823159.63,481.8232
4.5,Akash_Class,BOOST,3376.37,3.3764,1268.62,1.2686,888.2886,3197.8389,888.2886,317.7225,829.5234,19.0538,42.9035,46.9442,2.9238,5.7137,324865.54,324.8655,80000.0,80.0,9376.72,1260.0,497105665.32,497.1057
5.0,Akash_Class,BOOST,3801.86,3.8019,1432.25,1.4322,911.7296,3282.2265,911.7296,327.2493,850.9751,19.4507,44.0324,48.1371,3.0439,5.8357,325527.69,325.5277,80000.0,80.0,9395.83,1233.33,512604672.89,512.6047
5.5,Akash_Class,BOOST,4238.36,4.2384,1600.73,1.6007,935.7702,3368.7727,935.7702,336.9747,872.9914,19.8694,45.2208,49.3934,3.1699,5.9641,325755.82,325.7558,80000.0,80.0,9402.41,1206.67,528318395.66,528.3184
6.0,Akash_Class,BOOST,4686.16,4.6862,1774.19,1.7742,960.4419,3457.5908,960.4419,346.9094,895.6017,20.3116,46.4725,50.7174,3.3024,6.0994,325548.91,325.5489,80000.0,80.0,9396.44,1180.0,544244673.7,544.2447
6.5,Akash_Class,BOOST,5145.58,5.1456,1952.72,1.9527,985.7783,3548.8017,985.7783,357.0652,918.838,20.7787,47.792,52.1136,3.4418,6.2421,324907.12,324.9071,80000.0,80.0,9377.92,1153.33,560380889.09,560.3809
7.0,Akash_Class,BOOST,5616.94,5.6169,2136.45,2.1364,1011.8153,3642.535,1011.8153,367.4545,942.734,21.2726,49.1841,53.5873,3.5887,6.3927,323831.77,323.8318,80000.0,80.0,9346.88,1126.67,576723869.74,576.7239
7.5,Akash_Class,BOOST,6100.61,6.1006,2325.49,2.3255,1038.5915,3738.9294,1038.5915,378.0908,967.326,21.7953,50.654,55.144,3.7435,6.5517,322325.38,322.3254,80000.0,80.0,9303.4,1100.0,593269780.54,593.2698
8.0,Akash_Class,BOOST,6596.93,6.5969,2519.99,2.52,1066.1482,3838.1336,1066.1482,388.9885,992.653,22.3487,52.2074,56.7897,3.907,6.7198,320391.58,320.3916,80000.0,80.0,9247.58,1073.33,610013999.89,610.014
8.5,Akash_Class,BOOST,7106.31,7.1063,2720.07,2.7201,1094.5298,3940.3073,1094.5298,400.1628,1018.7567,22.9352,53.8505,58.5312,4.0797,6.8977,318035.21,318.0352,80000.0,80.0,9179.57,1046.67,626950979.81,626.951
9.0,Akash_Class,BOOST,7629.15,7.6292,2925.89,2.9259,1123.784,4045.6222,1123.784,411.6304,1045.682,23.5574,55.5903,60.3757,4.2623,7.086,315262.2,315.2622,80000.0,80.0,9099.53,1020.0,644074087.21,644.0741
9.5,Akash_Class,BOOST,8165.89,8.1659,3137.59,3.1376,1153.962,4154.2633,1153.962,423.4091,1073.4771,24.218,57.4343,62.3314,4.4558,7.2857,312079.65,312.0797,80000.0,80.0,9007.67,993.33,661375423.59,661.3754
