Time_s,Missile_Class,Flight_Phase,Altitude_m,Altitude_km,Range_m,Range_km,Speed_ms,Speed_kmh,Absolute_Velocity_ms,Vx_ms,Vy_ms,Ax_ms2,Ay_ms2,Total_Acceleration_ms2,Mach_Number,G_Load,Dynamic_Pressure_Pa,Dynamic_Pressure_kPa,Thrust_N,Thrust_kN,Drag_Force_N,Mass_kg,Kinetic_Energy_J,Kinetic_Energy_MJ
0.0,Prithvi_Class,BOOST,0.0,0.0,0.0,0.0,2200.0,7920.0,2200.0,679.8374,2092.3243,0.3612,-8.6984,8.7059,6.4706,0.1191,2964500.0,2964.5,180000.0,180.0,174623.46,4600.0,11132000000.0,11132.0
0.5,Prithvi_Class,BOOST,1043.99,1.044,340.01,0.34,2195.92,7905.312,2195.92,680.018,2087.9751,1.7533,-4.3382,4.6792,6.6873,0.5857,2612150.37,2612.1504,180000.0,180.0,153868.36,4548.0,10965374975.67,10965.375
1.0,Prithvi_Class,BOOST,2086.89,2.0869,680.46,0.6805,2194.1295,7898.8662,2194.1295,680.8946,2085.806,2.9929,-0.4642,3.0287,6.9182,1.0003,2306769.11,2306.7691,180000.0,180.0,135879.92,4496.0,10822331138.89,10822.3311
1.5,Prithvi_Class,BOOST,3129.68,3.1297,1021.65,1.0217,2194.3737,7899.7455,2194.3737,682.3911,2085.5739,4.104,3.001,5.0842,7.1637,1.3713,2040897.56,2040.8976,180000.0,180.0,120218.79,4444.0,10699543487.07,10699.5435
2.0,Prithvi_Class,BOOST,4173.21,4.1732,1363.87,1.3639,2196.4384,7907.1784,2196.4384,684.4431,2087.0744,5.1063,6.12,7.9705,7.4243,1.7052,1808506.83,1808.5068,180000.0,180.0,106529.85,4392.0,10594254734.06,10594.2547
2.5,Prithvi_Class,BOOST,5218.28,5.2183,1707.37,1.7074,2200.1422,7920.5119,2200.1422,686.9962,2090.1344,6.0157,8.9442,10.779,7.7004,2.0077,1604676.4,1604.6764,180000.0,180.0,94523.24,4340.0,10504157600.0,10504.1576
3.0,Prithvi_Class,BOOST,6265.59,6.2656,2052.37,2.0524,2205.3304,7939.1893,2205.3304,690.0041,2094.6065,6.8455,11.5159,13.3969,7.9928,2.2831,1425354.61,1425.3546,180000.0,180.0,83960.32,4288.0,10427305310.66,10427.3053
3.5,Prithvi_Class,BOOST,7315.77,7.3158,2399.09,2.3991,2211.8706,7962.7341,2211.8706,693.4268,2100.3644,7.6068,13.8704,15.8193,8.3021,2.5354,1267177.89,1267.1779,180000.0,180.0,74642.94,4236.0,10362042722.59,10362.0427
4.0,Prithvi_Class,BOOST,8369.42,8.3694,2747.7,2.7477,2219.649,7990.7364,2219.649,697.2302,2107.2996,8.3088,16.0375,18.062,8.6291,2.7676,1127332.8,1127.3328,180000.0,180.0,66405.38,4184.0,10306952732.21,10306.9527
4.5,Prithvi_Class,BOOST,9427.08,9.4271,3098.39,3.0984,2228.5673,8022.8422,2228.5673,701.3846,2115.3184,8.9594,18.0423,20.1444,8.9747,2.9825,1003449.61,1003.4496,180000.0,180.0,59108.06,4132.0,10260814149.75,10260.8141
5.0,Prithvi_Class,BOOST,10489.25,10.4892,3451.33,3.4513,2238.5403,8058.7452,2238.5403,705.8643,2124.3395,9.5654,19.9063,22.0853,9.3397,3.1823,893519.39,893.5194,180000.0,180.0,52632.64,4080.0,10222568270.17,10222.5683
5.5,Prithvi_Class,BOOST,11556.39,11.5564,3806.65,3.8067,2249.4943,8098.1794,2249.4943,710.647,2134.2927,10.1325,21.648,23.9019,9.7253,3.369,795828.89,795.8289,180000.0,180.0,46878.19,4028.0,10191292110.25,10191.2921
6.0,Prithvi_Class,BOOST,12628.95,12.629,4164.51,4.1645,2261.3649,8140.9135,2261.3649,715.7133,2145.1167,10.6657,23.2832,25.6099,10.1325,3.5443,708908.97,708.909,180000.0,180.0,41758.19,3976.0,10166176804.14,10166.1768
6.5,Prithvi_Class,BOOST,13707.33,13.7073,4525.03,4.525,2274.0963,8186.7465,2274.0963,721.0461,2156.7583,11.1694,24.826,27.2228,10.5624,3.7097,631493.3,631.4933,180000.0,180.0,37198.03,3924.0,10146510026.26,10146.51
7.0,Prithvi_Class,BOOST,14791.92,14.7919,4888.35,4.8883,2287.6399,8235.5036,2287.6399,726.6308,2169.1713,11.6474,26.2884,28.7531,11.0165,3.8666,562485.26,562.4853,180000.0,180.0,33133.12,3872.0,10131661584.27,10131.6616
7.5,Prithvi_Class,BOOST,15883.07,15.8831,5254.57,5.2546,2301.9536,8287.0329,2301.9536,732.4545,2182.3154,12.1032,27.6812,30.2115,11.4961,4.0159,500931.01,500.931,180000.0,180.0,29507.27,3820.0,10121071526.8,10121.0715
