Time_s,Missile_Class,Flight_Phase,Altitude_m,Altitude_km,Range_m,Range_km,Speed_ms,Speed_kmh,Absolute_Velocity_ms,Vx_ms,Vy_ms,Ax_ms2,Ay_ms2,Total_Acceleration_ms2,Mach_Number,G_Load,Dynamic_Pressure_Pa,Dynamic_Pressure_kPa,Thrust_N,Thrust_kN,Drag_Force_N,Mass_kg,Kinetic_Energy_J,Kinetic_Energy_MJ
0.0,QRSAM_Class,BOOST,0.0,0.0,0.0,0.0,600.0,2160.0,600.0,253.571,543.7847,20.1648,33.4336,39.0439,1.7647,4.8638,220500.0,220.5,55000.0,55.0,2514.58,1100.0,198000000.0,198.0
0.5,QRSAM_Class,BOOST,280.25,0.2803,131.83,0.1318,619.415,2229.8941,619.415,263.6534,560.5015,20.6919,34.583,40.3006,1.8389,4.9927,227379.13,227.3791,55000.0,55.0,2593.03,1070.0,205266119.96,205.2661
1.0,QRSAM_Class,BOOST,569.15,0.5691,268.83,0.2688,639.4688,2302.0876,639.4688,273.9993,577.793,21.2494,35.7989,41.6305,1.9168,5.1291,234242.18,234.2422,55000.0,55.0,2671.29,1040.0,212638573.64,212.6386
1.5,QRSAM_Class,BOOST,866.99,0.867,411.14,0.4111,660.1972,2376.7098,660.1972,284.624,595.6924,21.8404,37.0873,43.0403,1.9987,5.2736,241076.96,241.077,55000.0,55.0,2749.24,1010.0,220109453.2,220.1095
2.0,QRSAM_Class,BOOST,1174.11,1.1741,558.91,0.5589,681.6395,2453.9021,681.6395,295.5442,614.2361,22.4678,38.455,44.5375,2.0848,5.4269,247871.22,247.8712,55000.0,55.0,2826.72,980.0,227669852.88,227.6699
2.5,QRSAM_Class,BOOST,1490.84,1.4908,712.3,0.7123,703.8387,2533.8194,703.8387,306.7781,633.4636,23.1352,39.9096,46.1304,2.1756,5.5901,254612.68,254.6127,55000.0,55.0,2903.6,950.0,235309742.14,235.3097
3.0,QRSAM_Class,BOOST,1817.55,1.8176,871.47,0.8715,726.8422,2616.632,726.8422,318.3457,653.4184,23.8467,41.4598,47.8286,2.2713,5.7639,261289.11,261.2891,55000.0,55.0,2979.74,920.0,243017818.44,243.0178
3.5,QRSAM_Class,BOOST,2154.63,2.1546,1036.61,1.0366,750.702,2702.5274,750.702,330.269,674.1483,24.6067,43.1152,49.6429,2.3724,5.9496,267888.42,267.8884,55000.0,55.0,3054.99,890.0,250781336.03,250.7813
4.0,QRSAM_Class,BOOST,2502.48,2.5025,1207.89,1.2079,775.4757,2791.7125,775.4757,342.5723,695.7059,25.4205,44.8872,51.5855,2.4792,6.1484,274398.75,274.3987,55000.0,55.0,3129.24,860.0,258585905.87,258.5859
4.5,QRSAM_Class,BOOST,2861.55,2.8616,1385.53,1.3855,801.2269,2884.4167,801.2269,355.2826,718.1495,26.294,46.7884,53.6705,2.5924,6.3617,280808.57,280.8086,55000.0,55.0,3202.34,830.0,266415260.98,266.4153
5.0,QRSAM_Class,BOOST,3232.33,3.2323,1569.75,1.5697,828.0262,2980.8945,828.0262,368.4296,741.5437,27.234,48.8334,55.9141,2.7124,6.5911,287106.83,287.1068,55000.0,55.0,3274.16,800.0,274250979.86,274.251
5.5,QRSAM_Class,BOOST,3615.31,3.6153,1760.77,1.7608,855.9527,3081.4296,855.9527,382.0466,765.9604,28.2483,51.0393,58.335,2.8399,6.8386,293283.1,293.2831,55000.0,55.0,3344.6,770.0,282072159.26,282.0722
6.0,QRSAM_Class,BOOST,4011.05,4.011,1958.86,1.9589,885.0943,3186.3396,885.0943,396.1707,791.4801,29.3461,53.4257,60.9549,2.9756,7.1064,299327.71,299.3277,55000.0,55.0,3413.53,740.0,289855024.64,289.855
6.5,QRSAM_Class,BOOST,4420.14,4.4201,2164.28,2.1643,915.5503,3295.981,915.5503,410.8438,818.193,30.538,56.0157,63.7991,3.1203,7.397,305231.99,305.232,55000.0,55.0,3480.86,710.0,297572464.28,297.5725
7.0,QRSAM_Class,BOOST,4843.24,4.8432,2377.34,2.3773,947.4322,3410.7561,947.4322,426.1128,846.2008,31.8367,58.8361,66.8974,3.2748,7.7135,310988.48,310.9885,55000.0,55.0,3546.51,680.0,305193468.6,305.1935
7.5,QRSAM_Class,BOOST,5281.05,5.2811,2598.35,2.5984,980.8669,3531.1208,980.8669,442.0311,875.6188,33.2569,61.9191,70.2851,3.4402,8.0595,316591.27,316.5913,55000.0,55.0,3610.4,650.0,312682450.96,312.6825
8.0,QRSAM_Class,BOOST,5734.34,5.7343,2827.68,2.8277,1015.9985,3657.5946,1015.9985,458.6595,906.5784,34.8163,65.3028,74.0043,3.6177,8.4393,322036.29,322.0363,55000.0,55.0,3672.5,620.0,319998419.3,319.9984
8.5,QRSAM_Class,BOOST,6203.96,6.204,3065.72,3.0657,1052.9924,3790.7728,1052.9924,476.0677,939.2298,36.5362,69.0331,78.1055,3.8085,8.858,327321.79,327.3218,55000.0,55.0,3732.77,590.0,327093957.88,327.094
9.0,QRSAM_Class,BOOST,6690.83,6.6908,3312.88,3.3129,1092.0393,3931.3416,1092.0393,494.3358,973.7464,38.4425,73.1657,82.6501,4.0144,9.3219,332448.92,332.4489,55000.0,55.0,3791.24,560.0,333913965.16,333.914
9.5,QRSAM_Class,BOOST,7195.99,7.196,3569.66,3.5697,1133.3605,4080.0977,1133.3605,513.5571,1010.3292,40.5668,77.7686,87.7133,4.237,9.8387,337422.38,337.4224,55000.0,55.0,3847.96,530.0,340394074.56,340.3941
10.0,QRSAM_Class,BOOST,7720.6,7.7206,3836.58,3.8366,1177.2148,4237.9732,1177.2148,533.8405,1049.2135,42.9481,82.9266,93.3882,4.4786,10.4178,342251.37,342.2514,55000.0,55.0,3903.03,500.0,346458658.23,346.4587
10.5,QRSAM_Class,TERMINAL,8265.94,8.2659,4114.24,4.1142,1223.9077,4406.0678,1223.9077,555.3145,1090.6768,-3.5904,-16.8618,17.2398,4.7417,0.8067,346950.81,346.9508,0.0,0.0,3956.62,500.0,374487526.11,374.4875
11.0,QRSAM_Class,TERMINAL,8807.06,8.8071,4391.0,4.391,1215.5821,4376.0955,1215.5821,553.5193,1082.2459,-3.3352,-16.3311,16.6682,4.7951,0.7466,321137.7,321.1377,0.0,0.0,3662.25,500.0,369409947.83,369.4099
